
Tag,Area,Description,Setpoint/Rating,Qty,Notes
BD.QCELL,QCELL,Bursting disc @2.0 bar(a),2.0 bar(a),60,Cold users; route to tunnel vent or recovery
BD.QPLANT.HP,WCS.HP,Bursting disc (HP header),18 bar(a),2,High-pressure compressor discharge protection
BD.QPLANT.TS,QRB.D/QRB.E,Bursting disc (thermal-shield circuits),3.5 bar(a),3,QRB.D and QRB.E supply/return manifolds
PSV.QCELL,QCELL,Safety valves (QCELL users),various,180,Distribute per QCELL sub-functions per Addendum II
PSV.QPLANT.HP,WCS.HP,Safety valves (HP header),16 bar(a),6,Compressor trains and HP manifold
PSV.QPLANT.TS,QRB.D/QRB.E,Safety valves (thermal-shield),4.0 bar(a),6,Supply/return from QRB warm panel
PSV.QPLANT.LP,WCS.LP,Safety valves (LP header),1.3 bar(a),4,Protect low-pressure warm header tied to recovery
PSV.QPLANT.VB,Various,Vacuum breaker valves,0.95 bar(a),4,Thin-walled vessels or service volumes
PSV.QPLANT.S,QINFRA.S,S-line PSV set(s),1.3 bar(a),4,Sized for ≥200 g/s He @ 300 K to WCS.LP recovery
VAL.ONOFF,WCS/QRB,On/off valves 1",PN-rated,180,Welded bodies; /FS only at instrument take-offs
FSU.GASKET,ALL,Metal gasket kits (/FS),n/a,500+,Single-use; include SS/Ni/Cu mix
GAP.WCS,WCS,Gas analyzer panel (compressor room),ppm monitor,1,H₂O and N₂ analyzers; return to WCS.LP
GAP.QRB,QRB,Gas analyzer panel (cold-box room),ppm monitor,1,H₂O and N₂ analyzers; return to WCS.LP
EDC.QINFRA.U,QINFRA.U,Venturi eductor assemblies,ΔP motive dry N₂,6,Supports DBB purge blocks
SOL.FO.MINI,Various,Fail-open pilot solenoid valves,Instrument air,40,Loss of air shall not block manual isolation flo
