line,scenario,density,velocity,travel_time_60m,travel_time_91_5m,travel_time_151_5m,recommended_deadtime,recommended_sample_period,recommended_filter_constant,source_document,source_section,source_table,source_figure
A,2K-SB,8.024,3.116,19.255,29.365,48.62,48.62,4.862,16.207,CONTRACT,3 Technical Requirements / QPS User Interfaces,Table 7 Helium Inventory; Table 9 QRB Measuring Points,Figure 3 QPS interface mapping
A,2K-OP,5.576,4.636,12.942,19.737,32.679,32.679,3.268,10.893,CONTRACT,3 Technical Requirements / QPS User Interfaces,Table 7 Helium Inventory; Table 9 QRB Measuring Points,Figure 3 QPS interface mapping
B,2K-SB,10.148,3.772,15.907,24.258,40.164,40.164,4.016,13.388,CONTRACT,3 Technical Requirements / QPS User Interfaces,Table 7 Helium Inventory; Table 9 QRB Measuring Points,Figure 3 QPS interface mapping
B,2K-OP,7.052,5.612,10.691,16.304,26.996,26.996,2.7,8.999,CONTRACT,3 Technical Requirements / QPS User Interfaces,Table 7 Helium Inventory; Table 9 QRB Measuring Points,Figure 3 QPS interface mapping
D,2K-SB,8.732,3.444,17.422,26.568,43.99,43.99,4.399,14.663,CONTRACT,3 Technical Requirements / QPS User Interfaces,Table 7 Helium Inventory; Table 9 QRB Measuring Points,Figure 3 QPS interface mapping
D,2K-OP,6.068,5.124,11.71,17.857,29.567,29.567,2.957,9.856,CONTRACT,3 Technical Requirements / QPS User Interfaces,Table 7 Helium Inventory; Table 9 QRB Measuring Points,Figure 3 QPS interface mapping
E,2K-SB,6.136,2.706,22.173,33.814,55.987,55.987,5.599,18.662,CONTRACT,3 Technical Requirements / QPS User Interfaces,Table 7 Helium Inventory; Table 9 QRB Measuring Points,Figure 3 QPS interface mapping
E,2K-OP,4.264,4.026,14.903,22.727,37.63,37.63,3.763,12.543,CONTRACT,3 Technical Requirements / QPS User Interfaces,Table 7 Helium Inventory; Table 9 QRB Measuring Points,Figure 3 QPS interface mapping
W,2K-SB,1.947,7.216,8.315,12.68,20.995,20.995,2.099,6.998,CONTRACT,3 Technical Requirements / QPS User Interfaces,Table 7 Helium Inventory; Table 9 QRB Measuring Points,Figure 3 QPS interface mapping
W,2K-OP,1.353,10.736,5.589,8.523,14.111,14.111,1.411,4.704,CONTRACT,3 Technical Requirements / QPS User Interfaces,Table 7 Helium Inventory; Table 9 QRB Measuring Points,Figure 3 QPS interface mapping
U,2K-SB,1.711,5.248,11.433,17.435,28.868,28.868,2.887,9.623,CONTRACT,3 Technical Requirements / QPS User Interfaces,Table 7 Helium Inventory; Table 9 QRB Measuring Points,Figure 3 QPS interface mapping
U,2K-OP,1.189,7.808,7.684,11.719,19.403,19.403,1.94,6.468,CONTRACT,3 Technical Requirements / QPS User Interfaces,Table 7 Helium Inventory; Table 9 QRB Measuring Points,Figure 3 QPS interface mapping
S,2K-SB,1.416,4.018,14.933,22.773,37.705,37.705,3.77,12.568,CONTRACT,3 Technical Requirements / QPS User Interfaces,Table 7 Helium Inventory; Table 9 QRB Measuring Points,Figure 3 QPS interface mapping
S,2K-OP,0.984,5.978,10.037,15.306,25.343,25.343,2.534,8.448,CONTRACT,3 Technical Requirements / QPS User Interfaces,Table 7 Helium Inventory; Table 9 QRB Measuring Points,Figure 3 QPS interface mapping
