line,family,interface,scenario,dn,diameter_m,route_length_m,flow_basis_g_s,metric,min_value,expected_value,max_value,unit,source_document,source_section,source_table,source_figure,source_requirement,operating_basis,rtm_calculation,travel_time_60m_expected,transport_delay_s,emergency_recovery_min,emergency_recovery_expected,emergency_recovery_max
W,warm,W,2K-SB,DN80,0.08,151.5,28.0,Density,1.597,1.947,2.297,kg/m^3,CONTRACT,3 Technical Requirements / QPS User Interfaces,Table 7 Helium Inventory; Table 9 QRB Measuring Points,Figure 3 QPS interface mapping,RTM-289 / RTM-292 / RTM-296 / QPS controls response model,2 K standby / low-flow stabilization,RTM-292,8.315,20.995,2.156,2.628,3.101
W,warm,W,2K-SB,DN80,0.08,151.5,28.0,Velocity,5.917,7.216,8.515,m/s,CONTRACT,3 Technical Requirements / QPS User Interfaces,Table 7 Helium Inventory; Table 9 QRB Measuring Points,Figure 3 QPS interface mapping,RTM-289 / RTM-292 / RTM-296 / QPS controls response model,2 K standby / low-flow stabilization,RTM-292,8.315,20.995,7.988,9.742,11.495
W,warm,W,2K-OP,DN80,0.08,151.5,28.0,Density,1.109,1.353,1.597,kg/m^3,CONTRACT,3 Technical Requirements / QPS User Interfaces,Table 7 Helium Inventory; Table 9 QRB Measuring Points,Figure 3 QPS interface mapping,RTM-289 / RTM-292 / RTM-296 / QPS controls response model,2 K operation / process-flow basis,RTM-292,5.589,14.111,1.497,1.827,2.156
W,warm,W,2K-OP,DN80,0.08,151.5,28.0,Velocity,8.804,10.736,12.668,m/s,CONTRACT,3 Technical Requirements / QPS User Interfaces,Table 7 Helium Inventory; Table 9 QRB Measuring Points,Figure 3 QPS interface mapping,RTM-289 / RTM-292 / RTM-296 / QPS controls response model,2 K operation / process-flow basis,RTM-292,5.589,14.111,11.885,14.494,17.102
U,warm,U,2K-SB,DN65,0.065,91.5,20.0,Density,1.471,1.711,1.951,kg/m^3,CONTRACT,3 Technical Requirements / QPS User Interfaces,Table 7 Helium Inventory; Table 9 QRB Measuring Points,Figure 3 QPS interface mapping,RTM-289 / RTM-292 / RTM-296 / QPS controls response model,2 K standby / low-flow stabilization,RTM-289,11.433,28.868,1.765,2.053,2.341
U,warm,U,2K-SB,DN65,0.065,91.5,20.0,Velocity,4.513,5.248,5.983,m/s,CONTRACT,3 Technical Requirements / QPS User Interfaces,Table 7 Helium Inventory; Table 9 QRB Measuring Points,Figure 3 QPS interface mapping,RTM-289 / RTM-292 / RTM-296 / QPS controls response model,2 K standby / low-flow stabilization,RTM-289,11.433,28.868,5.416,6.298,7.18
U,warm,U,2K-OP,DN65,0.065,91.5,20.0,Density,1.023,1.189,1.355,kg/m^3,CONTRACT,3 Technical Requirements / QPS User Interfaces,Table 7 Helium Inventory; Table 9 QRB Measuring Points,Figure 3 QPS interface mapping,RTM-289 / RTM-292 / RTM-296 / QPS controls response model,2 K operation / process-flow basis,RTM-289,7.684,19.403,1.228,1.427,1.626
U,warm,U,2K-OP,DN65,0.065,91.5,20.0,Velocity,6.715,7.808,8.901,m/s,CONTRACT,3 Technical Requirements / QPS User Interfaces,Table 7 Helium Inventory; Table 9 QRB Measuring Points,Figure 3 QPS interface mapping,RTM-289 / RTM-292 / RTM-296 / QPS controls response model,2 K operation / process-flow basis,RTM-289,7.684,19.403,8.058,9.37,10.681
S,warm,S,2K-SB,DN150,0.15,60.0,45.0,Density,1.246,1.416,1.586,kg/m^3,CONTRACT,3 Technical Requirements / QPS User Interfaces,Table 7 Helium Inventory; Table 9 QRB Measuring Points,Figure 3 QPS interface mapping,RTM-289 / RTM-292 / RTM-296 / QPS controls response model,2 K standby / low-flow stabilization,RTM-296,14.933,37.705,1.495,1.699,1.903
S,warm,S,2K-SB,DN150,0.15,60.0,45.0,Velocity,3.536,4.018,4.5,m/s,CONTRACT,3 Technical Requirements / QPS User Interfaces,Table 7 Helium Inventory; Table 9 QRB Measuring Points,Figure 3 QPS interface mapping,RTM-289 / RTM-292 / RTM-296 / QPS controls response model,2 K standby / low-flow stabilization,RTM-296,14.933,37.705,4.243,4.822,5.4
